Namespace Id (1),Name,Description,Directory Namespace Id (2),XML Schema Namespace,Namespace Prefix (3),Logical Identifier   Prefix,Schema File Name Prefix (4),Governance Level,Registration   Authority,Steward Node Name,Steward Id,Steward Lead (6),Steward (Contact),Contact Email Address,Oversight  (5),Registration Date,Name of Provider,Dictionary Exists,Registered in PDS,Registration Date in PSA
Common,,,,,,,,,,,,,,,,,,,,
pds,Planetary Data System,Namespace for the PDS's common dictionary.,pds,http://pds.nasa.gov/pds4/pds/v1,pds,urn:nasa:pds:,PDS4_PDS,Common,0001_NASA_PDS_1,Planetary Data System,pds,PDS EN Node,Steve Hughes,Steve.Hughes at jpl.nasa.gov,CCB,2012-04-03,S. Hughes,Yes,Yes,
International,,,,,,,,,,,,,,,,,,,,
darts,DARTS (JAXA),Namespace for the DARTS (JAXA) dictionary.,darts,http://darts.isas.jaxa.jp/pds4/,darts,urn:jaxa:darts:,PDS4_DARTS,Discipline,0001_JAXA_DARTS_1,Data Archive and Transmission System,darts,DARTS (JAXA),Yukio Yamamoto,yamamoto.yukio at jaxa.jp, ,2017-03-17,S. Hughes,Yes,Yes,
isda,ISRO,Namespace for the ISRO dictionary.,isda,TBD,isda,urn:isro:isda,PDS4_ISDA,Discipline,0001_ISRO_ISDA_1,Indian Space Science Data Centre,isda,ISRO,B N Ramakrishna ,ramki at istrac.gov.in, ,2017-07-06,Ajay Kumar Prashar,Yes,Yes,
kpds,KARI Planetary Data System,Namespace for the for the Korea Aerospace Research Institute (KARI) - KARI Planetary Data System(KPDS),kpds,TBD (Under development. KPDS will be opened for web-service in early 2024.),kpds,urn:kari:kpds,PDS4_KPDS,Discipline,0001_KARI_KPDS_1,Korea Aerospace Research Institute (KARI),kpds,KARI,Joo Hyeon Kim (KPDS Manager),kl0630 at kari.re.kr, ,2021-08-18,Joo Hyeon Kim,,,
psa,ESA PSA,Namespace for ESA PSA's dictionary.,psa,http://psa.esa.int/psa/v1,psa,urn:psa:esa:,PDS4_PSA,Discipline,0001_ESA_PSA_1,Planetary Science Archive,psa,ESA PSA,Tanya Lim,tlim at sciops.esa.int, ,2015-09-30,S. Martinez,Yes,Yes,9/30/2015
rssa,RSSA (IKI),Namespace for the RSSA (IKI) dictionary.,rssa,TBD,rssa,urn:ros:rssa:,PDS4_RSSA,Discipline,0001_ROS_RSSA_1,Russian Space Agency,rssa,RSSA (IKI),Oleg Batanov ,obat at romance.iki.rssi.ru, ,2017-03-17,S. Hughes,Yes,Yes,
epn,VESPA EPN,Namespace for the VESPA EPN dictionary.,epn,https://voparis-ns.obspm.fr/pds4/epn/v1,epn,urn:vespa:epn,VESPA_EPN,Discipline,0001_VESPA_EPN_1,Virtual European Solar and Planetary Access,epn,VESPA,Baptiste Cecconi,baptiste.cecconi at observatoiredeparis.psl.eu, ,2020-10-28,S. Hughes,Yes,Yes,
Discipline,,,,,,,,,,,,,,,,,,,,
alt,Alternate,Namespace for the PPI Node's Alternate dictionary.,alt,http://pds.nasa.gov/pds4/alt/v1,alt,urn:nasa:pds:,PDS4_ALT,Discipline,0001_NASA_PDS_1,Planetary Plasma Interactions,ppi,PDS PPI Node,Joseph Mafi,jmafi at igpp.ucla.edu, ,2015-04-24,T. King,Yes,Yes,
atm,Atmosphere's Node,Namespace for the Atmospheres node's dictionary.,atm,http://pds.nasa.gov/pds4/atm/v1,atm,urn:nasa:pds:,PDS4_ATM,Discipline,0001_NASA_PDS_1,Atmospheres,atm,PDS ATM Node,Lyle Huber,lhuber at nmsu.edu, ,2012-04-03,S. Hughes,Yes,Yes,
cart,Cartography,"The Cartography Dictionary contains classes, elements, attributes, and rules describing map projections, including both cartographic and lander related definitions and descriptions. The PDS Cartography dictionary is based on and utilizes the existing Federal Geographic Data Committee (FGDC) Content Standard for Digital Geospatial Metadata, with modifications and extensions applied by PDS as needed for planetary mapping application.",cart,http://pds.nasa.gov/pds4/cart/v1,cart,urn:nasa:pds:,PDS4_CART,Discipline,0001_NASA_PDS_1,Cartography,img,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2015-10-22,C. Isbell,Yes,Yes,
ctli,Common Type List Instrument,The CTLI dictionary provides a set of type values for instruments for use in instrument context products.,ctli,http://pds.nasa.gov/pds4/ctli/v1,ctli,urn:nasa:pds:,PDS4_CTLI,Discipline,0001_NASA_PDS_1,CTLI,atm,PDS ATM Node,Lyle Huber,lhuber at nmsu.edu, ,2021-05-13,Lyle Huber,Yes,Yes,
disp,Display,"The Display Dictionary contains classes, attributes, and rules for specifying how arrays (images) as stored, should be displayed to users. For example, defining the vertical display direction 'Bottom to Top' or horizontal direction 'Left to Right' and it can provide guidance on mapping multiband arrays for color display (red, green, and blue) or as a movie sequence (video).",disp,http://pds.nasa.gov/pds4/disp/v1,disp,urn:nasa:pds:,PDS4_DISP,Discipline,0001_NASA_PDS_1,Display,img,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2013-06-10,M. Gordon,Yes,Yes,
ebt,Earth-Based Telescope,"This namespace will provide observing parameters, provenance, and geometry relevant to ground-based telescopes on Earth and for Earth-orbiting (or Lagrange point) telescopes",ebt,http://pds.nasa.gov/pds4/ebt/v1,ebt,urn:nasa:pds:,PDS4_EBT,Discipline,0001_NASA_PDS_1,Small Bodies,sbn,PDS SBN,Ben Hirsch,bhirsch1 at umd.edu, ,2021-07-21,B. Hirsch,Yes,Yes,
geom,Geometry,"The Geometry Dictionary contains classes, attributes, and rules for specifying the geometry parameters associated with science observations.",geom,http://pds.nasa.gov/pds4/geom/v1,geom,urn:nasa:pds:,PDS4_GEOM,Discipline,0001_NASA_PDS_1,Geometry,geo,PDS GEO Node,"Edward Guinness, Mitchell Gordon ","guinness at wunder.wustl.edu, mgordon@seti.org", ,2015-04-30,M. Gordon,Yes,Yes,
img,Imaging,"The Imaging Dictionary contains classes, attributes, and rules for specifying the metadata associated with imaging and spectrometer data products.",img,http://pds.nasa.gov/pds4/img/v1,img,urn:nasa:pds:,PDS4_IMG,Discipline,0001_NASA_PDS_1,Imaging,img,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2012-04-03,S. Lavoie,Yes,Yes,
img_surface,Surface Imaging,"The Surface Imaging Dictionary contains classes, attributes, and rules for specifying the metadata associated with imaging and spectrometer data products of surface missions.",img_surface,http://pds.nasa.gov/pds4/img_surface/v1,img_surface,urn:nasa:pds:,PDS4_IMG_SURFACE,Discipline,0001_NASA_PDS_1,Imaging Surface,img_surface,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2019-09-26,C. De Cesare,Yes,Yes,
ml,Machine Learning Classifier,Machine Learning Classifier Discipline Local Data Dictionary,ml,http://pds.nasa.gov/pds4/mission/ml/v1,ml,urn:nasa:pds:,PDS4_ML,Discipline,0001_NASA_PDS_1,Machine Learning,img,PDS IMG Node,Mike McAuley,Michael.McAuley at jpl.nasa.gov, ,2021-05-17,M. McAuley,Yes,Yes,
msn,Mission Information Commons,The sub-directory for the Mission Information class namespace.,msn,http://pds.nasa.gov/pds4/mission/msn/v1,msn,urn:nasa:pds:,PDS4_MSN,Discipline,0001_NASA_PDS_1,Generic Mission,img,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2016-10-07,S. Hughes,Yes,Yes,
msn_surface,Surface Mission Information,"The Surface Mission Dictionary contains classes, attributes, and rules for specifying metadata elements which are specific to the data products of surface missions but are common among multiple such missions.",msn_surface,http://pds.nasa.gov/pds4/msn_surface/v1,msn_surface,urn:nasa:pds:,PDS4_MSN_SURFACE,Discipline,0001_NASA_PDS_1,Mission Surface,msn_surface,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2019-09-26,C. De Cesare,Yes,Yes,
multi,Multidimensional,The Multi dictionary contains classes that describe the composition of multidimensional data consisting of Array (and Array subclass) data objects. It provides a way to associated data objects and align the objects in general multi-dimensional structures.,multi,http://pds.nasa.gov/pds4/multi/v1,multi,urn:nasa:pds:,PDS4_MULTI,Discipline,0001_NASA_PDS_1,Planetary Plasma Interactions,ppi,PDS PPI Node,Joseph Mafi,jmafi at igpp.ucla.edu, ,2021-03-02,J. Mafi,Yes,Yes,
nucspec,Nuclear Spectroscopy,"The Nuclear Spectroscopy dictionary provides classes, attributes, and rules for describing the circumstances surrounding nuclear spectroscopy observations.",nucspec,http://pds.nasa.gov/pds4/nucspec/v1,nucspec,urn:nasa:pds:,PDS4_NUCSPEC,Discipline,0001_NASA_PDS_1,nucspec,nucspec,PDS SBN/PSI,Jesse Stone,jstone at psi.edu, ,2020-10-06,Jesse Stone,Yes,Yes,
particle,Particle,The Particle dictionary contains classes that describe the composition of multidimensional particle data consisting of Array (and Array subclass) data objects.,particle,http://pds.nasa.gov/pds4/particle/v1,particle,urn:nasa:pds:,PDS4_PARTICLE,Discipline,0001_NASA_PDS_1,Planetary Plasma Interactions,ppi,PDS PPI Node,Joseph Mafi,jmafi at igpp.ucla.edu, ,2015-04-24,T. King,Yes,Yes,
pds,PDS Operations,Namespace for the Operations dictionary.,pds,http://pds.nasa.gov/pds4/pds/v1,pds,urn:nasa:pds:,PDS4_PDS,Discipline,0001_NASA_PDS_1,Operations,ops,PDS EN Node,Steve Hughes,Steve.Hughes at jpl.nasa.gov, ,2012-04-03,S. Hughes,Yes,Yes,
ppi,,Namespace for the PPI node's dictionary.,ppi,http://pds.nasa.gov/pds4/ppi/v1,ppi,urn:nasa:pds:,PDS4_PPI,Discipline,0001_NASA_PDS_1,Planetary Plasma Interactions,ppi,PDS PPI Node,Joseph Mafi,jmafi at igpp.ucla.edu, ,2012-04-03,S. Hughes,Yes,Yes,
proc,Processing Information,The Processing_Information Dictionary contains detailed information regarding the history of processing performed on data product(s) in order to produce the current product.,proc,http://pds.nasa.gov/pds4/proc/v1,proc,urn:nasa:pds:,PDS4_PROC,Discipline,0001_NASA_PDS_1,Processing History,proc,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2019-09-26,C. De Cesare,Yes,Yes,
rings,Rings,The Rings Dictionary contains classes supporting planetary ring observations including ring-specific geometric parameters.,rings,http://pds.nasa.gov/pds4/rings/v1,rings,urn:nasa:pds:,PDS4_RINGS,Discipline,0001_NASA_PDS_1,Ring-Moon Systems,rings,PDS Rings Node,Mitchel Gordon,mgordon at seti.org, ,2012-04-03,M. Gordon,Yes,Yes,
sb,Small Bodies Node Dictionary,"This dictionary will provide classes to support the documentation, support, discovery, and reuse of data from, by, and for small bodies research.",sb,http://pds.nasa.gov/pds4/sb/v1,sb,urn:nasa:pds:,PDS4_SB,Discipline,0001_NASA_PDS_1,Small Bodies,sbn,PDS SBN,Anne Raugh,araugh at umd.edu, ,2023-01-17,S. Hughes,Yes,Yes,
sp,Spectral,"The Spectral (sp) Discipline Dictionary contains classes for defining the spectral bin characteristics (in wavelength, frequency, or wave number) of a data product.",sp,http://pds.nasa.gov/pds4/sp/v1,sp,urn:nasa:pds:,PDS4_SP,Discipline,0001_NASA_PDS_1,Spectral,sbn    ,PDS SBN,Anne Raugh,araugh at umd.edu, ,2013-11-11,A. Raugh,Yes,Yes,
speclib,Spectral Library,"The Spectral Library Data Dictionary defines the metadata terms that describe laboratory spectral measurements, including classification of the samples measured.",speclib,http://pds.nasa.gov/pds4/speclib/v1,speclib,urn:nasa:pds:,PDS4_SPECLIB,Discipline,0001_NASA_PDS_1,Spectral Library,speclib,PDS GEO Node,Susie Slavney,slavney at wunder.wustl.edu, ,2017-05-15,S. Slavney,Yes,Yes,
survey,Survey,"The Survey dictionary provides classes, attributes, and rules for describing the circumstances surrounding sky survey observations.",survey,http://pds.nasa.gov/pds4/survey/v1,survey,urn:nasa:pds:,PDS4_SURVEY,Discipline,0001_NASA_PDS_1,Survey,survey,PDS SBN/PSI,Jesse Stone,jstone at psi.edu, ,2020-10-06,Jesse Stone,Yes,Yes,
Mission,,,,,,,,,,,,,,,,,,,,
apollo,Apollo,"The Apollo Mission Dictionary (apollo) contains classes, attributes and rules specific to the Apollo missions and their instruments.",mission/apollo,http://pds.nasa.gov/pds4/mission/apollo/v1,apollo,urn:nasa:pds:,APOLLO,Mission,0001_NASA_PDS_1,APOLLO,geo,PDS GEO Node,Jennifer Ward,jgward at wustl.edu, ,2022-08-18,J. Ward,Yes,Yes,
bopps,Balloon Observation Platform for Planetary Science,Namespace for the BOPPS dictionary.,mission/bopps,http://pds.nasa.gov/pds4/mission/bopps/v1,bopps,urn:nasa:pds:,BOPPS,Mission,0001_NASA_PDS_1,BOPPS,sbn,PDS SBN,Anne Raugh,araugh at umd.edu, ,2015-03-26,A. Raugh,Yes,Yes,
clementine,Clementine,"The Clementine mission dictionary contains a class with attributes specific to the Deep Space Program Science Experiment, including the Clementine orbiter and its instruments. This dictionary was created for the migration of Clementine data products from PDS3 to PDS4 by Million Concepts (contact M. St. Clair).",clementine,http://pds.nasa.gov/pds4/clementine/v1,clementine,urn:nasa:pds:,PDS4_CLEMENTINE,Mission,0001_NASA_PDS_1,Imaging,img,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2021-05-13,Trent Hare,Yes,Yes,
clipper,clipper,The Europa Clipper mission dictionary contains classes that describe aspects of the Clipper mission and related instruments.,clipper,http://pds.nasa.gov/pds4/clipper/v1,clipper,urn:nasa:pds:,PDS4_CLIPPER,Mission,0001_NASA_PDS_1,Imaging,img,PDS IMG Node,Trent Hare,thare at usgs.gov, ,2021-07-08,Trent Hare,Yes,Yes,
clps,clps,"The Commercial Lunar Payload Services Mission Dictionary (clps) contains classes, attributes and rules specific to the CLPS missions and their instruments.",clps,http://pds.nasa.gov/pds4/clps/v1,clps,urn:nasa:pds:,PDS4_CLPS,Mission,0001_NASA_PDS_1,Geo,geo,PDS GEO Node,Jennifer Ward,jgward at wustl.edu, ,2023-03-28,Jennifer Ward,Yes,Yes,
dart,dart,"This namespace provides classes specific to the NASA DART mission and, potentially, the concurrent LICIACube mission.",dart,http://pds.nasa.gov/pds4/dart/v1,dart,urn:nasa:pds:,PDS4_DART ,Mission,0001_NASA_PDS_1,SBN,sbn,PDS SBN,Ben Hirsch,bhirsch1 at umd.edu, ,2021-08-18,A. Raugh,Yes,Yes,
